e_rec,gammaFullNL,electronFullNL,positronFullNL
0.1000,0.200000,0.107353,1.022000
0.1100,0.200000,0.117333,1.022000
0.1200,0.200000,0.127327,1.022000
0.1300,0.200000,0.137250,1.022000
0.1400,0.200000,0.147174,1.022000
0.1500,0.200000,0.157094,1.022000
0.1600,0.202242,0.166968,1.022000
0.1700,0.213441,0.176864,1.022000
0.1800,0.224509,0.186727,1.022000
0.1900,0.235449,0.196555,1.022000
0.2000,0.246267,0.206400,1.022000
0.2100,0.256966,0.216175,1.022000
0.2200,0.267550,0.225930,1.022000
0.2300,0.278023,0.235721,1.022000
0.2400,0.288388,0.245446,1.022000
0.2500,0.298648,0.255175,1.022000
0.2600,0.309255,0.264908,1.022000
0.2700,0.319852,0.274598,1.022000
0.2800,0.330373,0.284324,1.022000
0.2900,0.340820,0.293986,1.022000
0.3000,0.351194,0.303642,1.022000
0.3100,0.361497,0.313339,1.022000
0.3200,0.371731,0.322982,1.022000
0.3300,0.381896,0.332652,1.022000
0.3400,0.391994,0.342288,1.022000
0.3500,0.402103,0.351897,1.022000
0.3600,0.412457,0.361551,1.022000
0.3700,0.422760,0.371148,1.022000
0.3800,0.433012,0.380776,1.022000
0.3900,0.443215,0.390388,1.022000
0.4000,0.453370,0.399985,1.022000
0.4100,0.463476,0.409605,1.022000
0.4200,0.473535,0.419177,1.022000
0.4300,0.483547,0.428764,1.022000
0.4400,0.493512,0.438329,1.022000
0.4500,0.503526,0.447879,1.022000
0.4600,0.513676,0.457477,1.022000
0.4700,0.523788,0.467027,1.022000
0.4800,0.533864,0.476616,1.022000
0.4900,0.543904,0.486163,1.022000
0.5000,0.553908,0.495694,1.022000
0.5100,0.563876,0.505280,1.022000
0.5200,0.573809,0.514827,1.022000
0.5300,0.583708,0.524401,1.022000
0.5400,0.593572,0.533904,1.022000
0.5500,0.603476,0.543421,1.022000
0.5600,0.613490,0.552983,1.022000
0.5700,0.623475,0.562510,1.022000
0.5800,0.633432,0.572092,1.022000
0.5900,0.643362,0.581620,1.022000
0.6000,0.653263,0.591113,1.022000
0.6100,0.663137,0.600617,1.022000
0.6200,0.672984,0.610111,1.022000
0.6300,0.682804,0.619651,1.022000
0.6400,0.692597,0.629156,1.022000
0.6500,0.702408,0.638696,1.022000
0.6600,0.712338,0.648205,1.022000
0.6700,0.722246,0.657701,1.022000
0.6800,0.732131,0.667228,1.022000
0.6900,0.741994,0.676704,1.022000
0.7000,0.751835,0.686225,1.022000
0.7100,0.761654,0.695699,1.022000
0.7200,0.771452,0.705202,1.022000
0.7300,0.781229,0.714733,1.022000
0.7400,0.790983,0.724215,1.022000
0.7500,0.800728,0.733723,1.022000
0.7600,0.810591,0.743191,1.022000
0.7700,0.820436,0.752709,1.022000
0.7800,0.830263,0.762207,1.022000
0.7900,0.840071,0.771701,1.022000
0.8000,0.849862,0.781237,1.022000
0.8100,0.859635,0.790724,1.022000
0.8200,0.869390,0.800255,1.022000
0.8300,0.879128,0.809700,1.022000
0.8400,0.888848,0.819162,1.022000
0.8500,0.898550,0.828622,1.022000
0.8600,0.908333,0.838050,1.022000
0.8700,0.918118,0.847597,1.022000
0.8800,0.927887,0.857121,1.022000
0.8900,0.937642,0.866639,1.022000
0.9000,0.947381,0.876114,1.022000
0.9100,0.957105,0.885574,1.022000
0.9200,0.966814,0.895073,1.032908
0.9300,0.976508,0.904519,1.044431
0.9400,0.986187,0.914001,1.055285
0.9500,0.995851,0.923456,1.065889
0.9600,1.005720,0.932967,1.076238
0.9700,1.015746,0.942450,1.086505
0.9800,1.025763,0.951831,1.096737
0.9900,1.035771,0.961277,1.106843
1.0000,1.045771,0.970784,1.116907
1.0100,1.055763,0.980330,1.127009
1.0200,1.065746,0.989785,1.137015
1.0300,1.075720,0.999254,1.147001
1.0400,1.085687,1.008739,1.157027
1.0500,1.095645,1.018193,1.166971
1.0600,1.105594,1.027691,1.176895
1.0700,1.115536,1.037146,1.186863
1.0800,1.125469,1.046636,1.196765
1.0900,1.135393,1.056100,1.206650
1.1000,1.145310,1.065557,1.216560
1.1100,1.155218,1.075055,1.226408
1.1200,1.165118,1.084512,1.236219
1.1300,1.175010,1.094011,1.246067
1.1400,1.184894,1.103465,1.255845
1.1500,1.194769,1.112935,1.265610
1.1600,1.204637,1.122401,1.275408
1.1700,1.214496,1.131848,1.285147
1.1800,1.224347,1.141339,1.294923
1.1900,1.234190,1.150787,1.304640
1.2000,1.244026,1.160278,1.314338
1.2100,1.253853,1.169726,1.324080
1.2200,1.263672,1.179190,1.333764
1.2300,1.273483,1.188667,1.343494
1.2400,1.283286,1.198117,1.353161
1.2500,1.293081,1.207608,1.362824
1.2600,1.302868,1.217058,1.372517
1.2700,1.312647,1.226545,1.382159
1.2800,1.322419,1.236000,1.391830
1.2900,1.332182,1.245455,1.401470
1.3000,1.341938,1.254943,1.411102
1.3100,1.351686,1.264394,1.420780
1.3200,1.361426,1.273888,1.430392
1.3300,1.371158,1.283339,1.439998
1.3400,1.380882,1.292818,1.449637
1.3500,1.390599,1.302283,1.459222
1.3600,1.400308,1.311724,1.468837
1.3700,1.410009,1.321208,1.478439
1.3800,1.419703,1.330650,1.488024
1.3900,1.429388,1.340134,1.497656
1.4000,1.439066,1.349577,1.507231
1.4100,1.448737,1.359039,1.516844
1.4200,1.458400,1.368505,1.526416
1.4300,1.468055,1.377948,1.535997
1.4400,1.477703,1.387434,1.545608
1.4500,1.487343,1.396878,1.555145
1.4600,1.496975,1.406367,1.564735
1.4700,1.506600,1.415817,1.574291
1.4800,1.516217,1.425277,1.583852
1.4900,1.525827,1.434758,1.593468
1.5000,1.535430,1.444208,1.603033
1.5100,1.545025,1.453700,1.612590
1.5200,1.554612,1.463151,1.622098
1.5300,1.564192,1.472636,1.631669
1.5400,1.573765,1.482095,1.641200
1.5500,1.583330,1.491549,1.650741
1.5600,1.592888,1.501041,1.660323
1.5700,1.602438,1.510497,1.669855
1.5800,1.611981,1.519995,1.679393
1.5900,1.621517,1.529452,1.688946
1.6000,1.631045,1.538932,1.698456
1.6100,1.640566,1.548408,1.708011
1.6200,1.650080,1.557867,1.717518
1.6300,1.659587,1.567366,1.727084
1.6400,1.669086,1.576825,1.736619
1.6500,1.678578,1.586325,1.746136
1.6600,1.688063,1.595785,1.755676
1.6700,1.697541,1.605246,1.765179
1.6800,1.707011,1.614716,1.774741
1.6900,1.716474,1.624157,1.784261
1.7000,1.725931,1.633640,1.793789
1.7100,1.735380,1.643081,1.803358
1.7200,1.744821,1.652560,1.812879
1.7300,1.754256,1.662007,1.822443
1.7400,1.763684,1.671455,1.831921
1.7500,1.773104,1.680935,1.841446
1.7600,1.782518,1.690378,1.850908
1.7700,1.791925,1.699864,1.860386
1.7800,1.801324,1.709324,1.869953
1.7900,1.810716,1.718813,1.879510
1.8000,1.820102,1.728289,1.889068
1.8100,1.829480,1.737751,1.898567
1.8200,1.838852,1.747254,1.908086
1.8300,1.848217,1.756718,1.917592
1.8400,1.857574,1.766222,1.927070
1.8500,1.866925,1.775686,1.936578
1.8600,1.876269,1.785165,1.946076
1.8700,1.885606,1.794655,1.955598
1.8800,1.894936,1.804119,1.965129
1.8900,1.904259,1.813622,1.974553
1.9000,1.913575,1.823086,1.984030
