run,phase,date,source,x_m,y_m,z_m,is_centre,in_calib_table,calib_good,prephase1_rtraw,physics_good,in_kup_esd,run_kind
9415,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9417,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9420,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9426,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9431,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9436,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9438,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9440,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9442,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9444,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9446,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9448,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9451,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9461,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9463,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9466,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9468,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9470,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9472,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9474,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9476,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9478,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9480,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9482,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9484,pre-P1,,,,,,,0,0,1,0,0,other-calibration
9497,pre-P1,2025-08-24,Ge68,0.0,0.0,18.4,0,1,0,1,0,0,calib-source z-scan
9499,pre-P1,2025-08-24,Ge68,0.0,0.0,18.0,0,1,0,1,0,0,calib-source z-scan
9501,pre-P1,2025-08-24,Ge68,0.0,0.0,17.7,0,1,0,1,0,0,calib-source z-scan
9503,pre-P1,2025-08-24,Ge68,0.0,0.0,17.5,0,1,0,1,0,0,calib-source z-scan
9505,pre-P1,2025-08-24,Ge68,0.0,0.0,17.3,0,1,0,1,0,0,calib-source z-scan
9507,pre-P1,2025-08-24,Ge68,0.0,0.0,17.1,0,1,0,1,0,0,calib-source z-scan
9509,pre-P1,2025-08-24,Ge68,0.0,0.0,16.9,0,1,0,1,0,0,calib-source z-scan
9511,pre-P1,2025-08-24,Ge68,0.0,0.0,16.7,0,1,0,1,0,0,calib-source z-scan
9513,pre-P1,2025-08-24,Ge68,0.0,0.0,16.5,0,1,0,1,0,0,calib-source z-scan
9515,pre-P1,2025-08-24,Ge68,0.0,0.0,16.3,0,1,0,1,0,0,calib-source z-scan
9517,pre-P1,2025-08-24,Ge68,0.0,0.0,16.1,0,1,0,1,0,0,calib-source z-scan
9519,pre-P1,2025-08-24,Ge68,0.0,0.0,15.9,0,1,0,1,0,0,calib-source z-scan
9521,pre-P1,2025-08-24,Ge68,0.0,0.0,15.7,0,1,0,1,0,0,calib-source z-scan
9523,pre-P1,2025-08-24,Ge68,0.0,0.0,15.5,0,1,0,1,0,0,calib-source z-scan
9525,pre-P1,2025-08-24,Ge68,0.0,0.0,15.0,0,1,0,1,0,0,calib-source z-scan
9527,pre-P1,2025-08-24,Ge68,0.0,0.0,14.0,0,1,0,1,0,0,calib-source z-scan
9529,pre-P1,2025-08-24,Ge68,0.0,0.0,13.0,0,1,0,1,0,0,calib-source z-scan
9531,pre-P1,2025-08-24,Ge68,0.0,0.0,11.0,0,1,0,1,0,0,calib-source z-scan
